# =================================================
# Errors
# =================================================

error                                  Errore
yardend_12                             Questi dati rappresentano la sequenza digitale primaria, che prepara un'anima non ancora programmata a rinascere a nuova vita.
yardend_13                             La sequenza può cambiare col tempo e rappresenta la combinazione giusta di conoscenze e competenze di tutti i Darwiniani mai vissuti.

yardend_14                             Così, il ricevitore raccoglie le anime non ancora elaborate che arrivano nel deposito.
yardend_15                             La memoria buffer conserva il progetto di base per programmare un'anima non elaborata.
yardend_16                             La sequenza e le anime non elaborate vengono inviate, attraverso la porta di passaggio, verso la biosfera, dove rinascono come Darwiniani.
yardend_17                             Il tuo compito, ora, è riattivare questi sistemi e ricostruire la popolazione dei Darwiniani. Buona fortuna.


# ================================================
# Receiver
# ================================================

receiver_objective1                    Raccogli 50 anime al minuto
receiver_objective2                    Attiva la porta di passaggio verso la biosfera

receiver_primary_1                     Ogni raccoglitore ha bisogno di Darwiniani per funzionare, il che significa che dovrai eliminare prima l'infezione virale.
receiver_primary_2                     La griglia trasporta queste anime non elaborate fino a qui. Questa struttura recupera tutte le anime dalla griglia e le dispone lungo una linea continua.
receiver_primary_3                     Dobbiamo raggiungere un flusso di almeno 50 anime non elaborate al minuto, per avere la possibilità di ricostruire la popolazione Darwiniana.
receiver_primary_4                     Queste anime non elaborate vengono trasportate fino alla biosfera, dove vengono programmate e fatte rinascere come nuovi Darwiniani.

receiver_trunk_1                       Una volta che le anime sono state raccolte dal ricevitore, devono essere trasportate fino alla biosfera principale di Darwinia.
receiver_trunk_2                       Lì verranno programmate e fatte rinascere come Darwiniani. Apri le porte di passaggio per permettere alle anime di essere trasmesse.


# ================================================
# Pattern Buffer
# ================================================

patternbuffer_objective1               Debella l'infezione della sequenza
patternbuffer_objective2               Attiva la porta di passaggio della biosfera

patternbuffer_primary_1                Sfortunatamente, l'infezione virale si è estesa fino al progetto di base: dobbiamo ripulirlo.
patternbuffer_primary_2                Ci sono quattro caricatori campione sparsi in questo settore. Ciascuno deve essere occupato da Darwiniani.
patternbuffer_primary_3                Ciascun caricatore campione è una camera di sicurezza, che sono contento di aver ideato. Essi analizzeranno e copieranno la sequenza dei Darwiniani che occupano la struttura.
patternbuffer_primary_4                Questa verrà trasmessa al progetto di base attraverso i satelliti e sterminerà l'infezione.
patternbuffer_primary_5                Devi occupare almeno tre dei caricatori campione per distruggere l'infezione del progetto di base.

patternbuffer_trunk_1                  Il progetto di base deve essere trasmesso alla biosfera attraverso questa porta di passaggio.
patternbuffer_trunk_2                  Strano, questa porta di passaggio è già stata aperta.

patternbuffer_redarmy_1                Ma com'è possibile!
patternbuffer_redarmy_2                Come sono arrivati fin qui?
patternbuffer_redarmy_3                Attenzione, sembra che i Darwiniani infetti si siano infiltrati qui e non hanno un'aria amichevole.


# ================================================
# Cutscene after Receiver and Pattern Buffer
# ================================================

prebiosphere_1                         Questi Darwiniani malvagi, che abbiamo visto nella memoria buffer, provengono senza dubbio dalla biosfera.
prebiosphere_2                         Sembra che il virus abbia infettato una parte del sistema di rinascita e che il campione infetto abbia fatto nascere dei Darwiniani rossi, invece che verdi.
prebiosphere_3                         Non me lo aspettavo. Recuperare la biosfera non sarà facile.


# ================================================
# Biosphere
# ================================================

biosphere_objective1                   Distruggi l'armata rossa

biosphere_primary_1                    Questo è il posto in cui nasce la civiltà di Darwinia. Tutti i Darwiniani mai esistiti sono nati qui.
biosphere_primary_2                    Se conquistiamo questa biosfera, ricostituiremo molto rapidamente la popolazione Darwiniana.
biosphere_primary_3                    I Darwiniani sono nati dai punti di generazione sparsi sulle isole. Come tutte le strutture a Darwinia, questi punti di generazione necessitano di Darwiniani per funzionare.
biosphere_primary_4                    Al fine di prevenire una sovrappopolazione cronica, il numero di Darwiniani che possono apparire su ciascuna isola è limitato.
biosphere_primary_5                    Questo è il punto di generazione principale: controlla il tasso di nascita complessivo e sincronizza tutti gli altri punti di generazione vicini.
biosphere_primary_6                    Recupera le anime non elaborate dal ricevitore e le riprogramma usando il segnale in codice della memoria buffer.
biosphere_primary_7                    Successivamente, invia queste anime nuove al punto di generazione che ne ha bisogno.
biosphere_primary_8                    Sfortunatamente, l'infezione virale del campione ha fatto sì che questo settore si riempisse di Darwiniani malvagi.
biosphere_primary_9                    Devi costruire la tua armata verde per assumere il controllo dei punti di generazione.
biosphere_primary_10                   Sarà una battaglia dura ma, speriamo, decisiva. Questa è una delle ultime zone ancora infette. Buona fortuna!

biosphere_reddead_1                    Sembra che abbiamo decimato l'armata rossa.

biosphere_end_1                        Capisco! Ora capisco come tutto questo sia potuto accadere.
biosphere_end_2                        Vieni al tempio... te lo mostrerò. Ora so come fermare tutto questo, una volta per tutte.

rockhead_1                             I Darwiniani, una volta, videro una mia fotografia e celebrarono questo avvenimento per giorni. Per alcuni secondi, la mia immagine venne proiettata nel cielo di Darwinia.
rockhead_2                             Stavo lavorando al programma per realizzare il cielo e i dati della texture sono stati accidentalmente sovrascritti da un'immagine proveniente dalla mia webcam, simile a quella che vedi sul tuo schermo mentre ti parlo.
rockhead_3                             Da quel giorno, i Darwiniani si infiltrarono nel deposito di costruzione, a mia insaputa, e lo usarono per costruire queste facce di pietra, che trasportarono successivamente in tutto il mondo.
rockhead_4                             Questo mi fa pensare che ho una grande responsabilità, in quanto loro ideatore.


# ================================================
# Temple
# ================================================

temple_intro_1                         Molto tempo fa, i Darwiniani cominciarono a costruire un tempio. Credo che il loro sogno fosse comunicare con me.
temple_intro_2                         Non avrei mai creduto che ci sarebbero riusciti un giorno.
temple_intro_3                         È un sistema molto ingegnoso. Hanno scoperto il modo di allineare una delle porte di passaggio a quello che credevano fosse il Paradiso... il deposito delle anime al centro di Darwinia.
temple_intro_4                         Siccome pensavano di parlare con Dio, decisero di aprire un flusso di dati e iniziarono a scaricare file sul mio computer.
temple_intro_5                         I miei programmi di ricerca furono i primi a passare per questo collegamento.
temple_intro_6                         La mia attenzione era rivolta ad altri problemi, ma avrei dovuto considerare ciò che stavano facendo.
temple_intro_7                         Disponevano di schemi e concetti sulla base dei quali Darwinia è stata costruita. Non erano pronti per ricevere queste informazioni.
temple_intro_8                         Per la prima volta in assoluto, iniziarono a comprendere la natura della loro esistenza virtuale simulata.
temple_intro_9                         Successivamente, scaricarono tutte le mie e-mail. E a quel punto mi accorsi che c'era qualcosa che non andava.
temple_intro_10                        Temendo per ciò che poteva accadere in seguito, ho bloccato il collegamento. Ma era troppo tardi.
temple_intro_11                        Tra le e-mail, c'era della posta indesiderata infettata da un virus Internet particolarmente violento.
temple_intro_13                        Non potevo credere a ciò che stava succedendo.
temple_intro_14                        Il virus aveva trasformato i Darwiniani in creature distruttive, che abbiamo combattuto costantemente.
temple_intro_15                        Poi queste creature hanno attaccato i sopravvissuti.
temple_intro_16                        Si sono moltiplicate a velocità vertiginosa. Hanno preso il controllo di gran parte del sistema, prima che io potessi fare qualcosa per fermarle.
temple_intro_17                        Onestamente, ero arrivato al punto di voler formattare tutto. Pensavo che il lavoro di una vita fosse stato distrutto.
temple_intro_18                        Fino al momento del tuo arrivo. Ringrazio il cielo per il tuo arrivo!

temple_primary_1                       Tre delle e-mail infette esistono ancora e sono tuttora attive.
temple_primary_1b                      Tutto ciò che si avvicina a esse viene corrotto e convertito in virus.
temple_primary_2                       La buona notizia è che abbiamo confinato il virus in questo settore. Queste e-mail infette sono l'unica speranza di sopravvivenza del virus e dobbiamo distruggerle.
temple_primary_3                       Dovrai combattere per avvicinarti e distruggerle con un esplosivo a distanza ravvicinata. Vai!

temple_objective                       Distruggi le e-mail infette


# =================================================
# Game Over
# =================================================

gameover_1                             Fantastico, hai eliminato l'ultima e-mail infetta!
gameover_2                             Quando sei pronto, esci da questo settore e daremo un'occhiata insieme a questo mondo rinato.


# =================================================
# Intro
# =================================================

intro_1                                Introversion Software Presenta
intro_2                                DARWINIA
intro_3                                Connessione al server Darwin Research Associates Project...
intro_4                                Connessione al flusso dati stabilita
intro_5                                Benvenuto al primo parco di divertimenti digitale online.
intro_6                                Non danneggiare o spaventare i Darwiniani nativi.
intro_7                                Attenzione: errori rilevati nel flusso dati.
intro_8                                A nome del dottor Sepulveda e del suo team, vi auguriamo buon divertimento durante la vostra visita a Darwinia.
intro_9                                Attenzione: errori rilevati nel flusso dati.
intro_10                               Att3nzione: erroHri ril.va.i nel flusso d.ti.

intro_ambrosia_1                       Versione Mac OS X pubblicata da
intro_ambrosia_2                       Ambrosia Software

intro_bootloader                       Visualizza introduzione

# =================================================
# Outro
# =================================================

outro_biosphere_1                      Non credo che i Darwiniani si scorderanno mai dell'accaduto.
outro_biosphere_1b                     Infatti, penso che questo momento sarà determinante nella loro storia.
outro_biosphere_2                      Ora sono più ambiziosi, audaci, forti e intelligenti che mai, ma hanno perso la loro innocenza.
outro_biosphere_2b                     La battaglia della biosfera è senza dubbio il capitolo più nero della storia di Darwinia.
outro_biosphere_3                      La terribile perdita di vite in un così breve periodo di tempo e le lotte intestine rendono la faccenda ancora più drammatica.

outro_receiver_1                       Tra tutti i morti, i Darwiniani uccisi dai distruttori di anime rimarranno per sempre nei cuori dei sopravvissuti.
outro_receiver_2                       Le loro anime, irrimediabilmente perdute, non hanno possibilità di vita ultraterrena o di rinascita.
outro_receiver_3                       Continueranno a vagare nei posti in cui sono morte, fino alla fine del mondo, fino alla fine dei tempi.
outro_receiver_4                       Per questo motivo, i Darwiniani ora capiscono, per la prima volta, ciò che significa la perdita di un loro simile.

outro_containment_1                    Il mio sogno è quello di far crescere e sviluppare Darwinia, anche quando io non ci sarò più.
outro_containment_1b                   Iniziai l'ideazione di Darwinia più di dieci anni fa e ho lavorato su di essa ogni singolo giorno, in isolamento virtuale, per tutto questo tempo...
outro_containment_2                    ... per arrivare a sperare, ora, che il lavoro della mia vita venga salvato da uno sconosciuto.
outro_containment_3                    Voglio che tu mi aiuti a continuare il mio lavoro; ti sto inviando un profilo che ti permetterà di accedere a ogni settore di Darwinia.
outro_containment_4                    Sono consapevole di non poter far funzionare Darwinia, da solo. Voglio fornirti gli strumenti che ho usato per costruire questo mondo.
outro_containment_5                    Voglio che tu mi aiuti a portarlo a termine.

outro_10                               Sto trasferendo sul tuo computer il permesso di accedere all'Editor del mondo. È lo strumento che ho usato per costruire ogni luogo che hai visitato finora. Quando sarai in Paradiso, potrai accedervi dal menu principale.
outro_11                               Sto trasferendo il tuo nuovo profilo utente al tuo sistema; l'ho chiamato Accesso a tutti i settori. Puoi anche caricarlo dal menu Profili; ti darà libero accesso a tutti i settori che hai già visitato qui a Darwinia.

outro_1                                Quando penso a tutte le storie e leggende che sono nate dopo l'arrivo dei virus... questo mi spaventa.
outro_2                                Mi dispiace che i Darwiniani abbiano una buona memoria: si tramandano ancora storie tristi sull'isola perduta l'anno scorso, durante il crash del server.
outro_3                                Non so che effetti avrà questa guerra sui Darwiniani, né cosa decideranno di fare in seguito.
outro_4                                Ma so per certo che tutte le nostre azioni resteranno nelle leggende e nel folclore per generazioni e generazioni di Darwiniani.


# =================================================
# Editor strings
# =================================================

editor_savesettings                    Salva impostazioni
editor_generate                        Genera
editor_randomise                       Casuale
editor_clone                           Clona
editor_delete                          Elimina
editor_deletenow                       !ELIMINA!
editor_size                            Dimensioni
editor_height                          Altezza
editor_seed                            Semina
editor_move                            Sposta
editor_rotate                          Ruota

editor_mainedit                        Modifica principale
editor_editlandtiles                   Modifica riquadri terreno
editor_editflattenareas                Modifica livellamento terreno
editor_editlights                      Modifica luci
editor_editbuildings                   Modifica strutture
editor_editinstantunits                Modifica unità istantanee
editor_editcameramounts                Modifica angolazioni visuale
editor_save                            Salva

editor_landscape                       Terreno
editor_landscapetile                   Riquadri terreno
editor_guidegrid                       Griglia
editor_noiseperiod                     Durata rumore
editor_noisescale                      Scala rumore
editor_method                          Metodo
editor_lowlandsmooth                   Livellamento
editor_posX                            Pos X
editor_posY                            Pos Y
editor_posZ                            Pos Z
editor_newtile                         Nuovo riquadro
editor_newflattenarea                  Nuova area pianeggiante
editor_scaledown                       Riduci
editor_scaleup                         Ingrandisci
editor_outsideheight                   Altezza esterna
editor_cellsize                        Dimensione celle
editor_worldsizeX                      Dimensione X mondo
editor_worldsizeZ                      Dimensione Z mondo
editor_movebuildings                   Sposta strutture

editor_resolution                      Risoluzione
editor_toolsize                        Dimensione utensili
editor_freehand                        Mano libera
editor_flatten                         Livella
editor_binary                          Binario

editor_treeditor                       Editor alberi
editor_clonesimilar                    Clona simile
editor_branchcolour                    Colore rami
editor_leafcolour                      Colore foglie
editor_budsize                         Dimensioni germogli
editor_pushup                          Innalza
editor_pushout                         Spingi avanti
editor_iterations                      Iterazioni

editor_lights                          Luci
editor_newlight                        Nuova luce
editor_deselectlights                  Deseleziona luci
editor_selectlight                     Seleziona luce
editor_adjustbrightness                Regola luminosità

editor_instantunits                    Unità istantanee
editor_instantuniteditor               Editor unità istantanee
editor_numentities                     Numero entità
editor_spread                          Propagazione
editor_inunit                          In unità

editor_coloureditor                    Editor colori
editor_red                             Rosso
editor_green                           Verde
editor_blue                            Blu
editor_alpha                           Alpha

editor_toggleeditor                    Attiva/Disattiva editor

editor_globalworldeditor               Editor del mondo
editor_editlocations                   Modifica luoghi
editor_movelocations                   Sposta settori
editor_createnewlocation               Crea nuovo settore
editor_savelocations                   Salva settori

editor_cameramounts                    Angolazioni visuale
editor_cameraanims                     Animazioni visuale
editor_cameraanim                      Animazione visuale
editor_createnewmount                  Crea nuova visuale
editor_goto                            Movimento
editor_update                          Aggiorna
editor_del                             Elimina

editor_buildings                       Strutture
editor_buildingid                      ID strutture
editor_link                            Collegamento
editor_dynamic                         Dinamica
editor_isglobal                        Generale
editor_buildingtype                    Tipo struttura
editor_createbuilding                  Crea struttura

editor_spirits                         Anime
editor_targetlocation                  Settore bersaglio
editor_scale                           Scala
editor_mode                            Modalità
editor_disabling                       Disattiva
editor_enabling                        Attiva
editor_enabled                         Attivato
editor_disabled                        Disattivato
editor_numants                         Numero formiche
editor_capacity                        Capacità
editor_entitytype                      Tipo entità
editor_toggledby                       Attivato/Disattivato da
editor_research                        Ricerca
editor_level                           Livello
editor_pitch                           Inclinazione
editor_force                           Forza
editor_variance                        Varianza
editor_reload                          Ricarica
editor_usetrigger                      Usa attivazione
editor_triggerX                        Attivazione X
editor_triggerZ                        Attivazione Z
editor_triggerrad                      Raggio attivazione
editor_altitude                        Altitudine
editor_segment                         Segmento
editor_count                           Conteggio
editor_period                          Periodo
editor_searchradius                    Raggio di ricerca
editor_maxpopulation                   Popolazione massima
editor_clearlinks                      Elimina collegamenti
editor_range                           Portata
editor_script                          Script
editor_always                          Sempre
editor_never                           Mai
editor_cameraenter                     Inserisci telecamera
editor_cameraview                      Visuale telecamera
editor_shape                           Forma
editor_fuel                            Carburante
editor_passengers                      Passeggeri
editor_spawnport                       Punto di generazione
editor_requiredscore                   Punteggio richiesto
editor_pointspersec                    Punti per secondo
editor_minlinks                        Nodi attivi minimi
editor_powerlink1                      Pilone 1
editor_powerlink2                      Pilone 2
editor_spawnlimit                      Generazioni massime
editor_leafdrop                        Tasso caduta foglie
editor_neveron                         Mai attivo
editor_switchonce                      Attiva una volta

spawnname_spawnvirii                   Genera Virii
spawnname_spawncentipedes              Genera centipedi
spawnname_spawnspider                  Genera ragno
spawnname_spawnspirits                 Genera anime
spawnname_spawneggs                    Genera uova
spawnname_spawntriffideggs             Genera uova di trifido
spawnname_spawndarwinians              Genera Darwiniani


# =================================================
# Building Names
# =================================================

buildingname_invalid                   Non valido
buildingname_factory                   Industria
buildingname_cave                      Cava
buildingname_radardish                 Radar
buildingname_laserfence                Barriera laser
buildingname_controltower              Torre di controllo
buildingname_gunturret                 Torretta
buildingname_bridge                    Ponte
buildingname_powerstation              Stazione energetica
buildingname_tree                      Albero
buildingname_wall                      Muro
buildingname_trunkport                 Porta di passaggio
buildingname_researchitem              Dati di ricerca
buildingname_library                   Biblioteca
buildingname_generator                 Generatore
buildingname_pylon                     Pilone
buildingname_pylonstart                Inizio pilone
buildingname_pylonend                  Fine pilone
buildingname_solarpanel                Pannello solare
buildingname_tracklink                 Collegamento binari
buildingname_trackjunction             Raccordo binari
buildingname_trackstart                Inizio binari
buildingname_trackend                  Fine binari
buildingname_refinery                  Raffineria
buildingname_mine                      Miniera
buildingname_yard                      Deposito
buildingname_displayscreen             Visualizzazione schermata
buildingname_upgradeport               Punto di potenziamento
buildingname_primaryupgrade            Potenziamento principale
buildingname_incubator                 Incubatrice
buildingname_anthill                   Formicaio
buildingname_safearea                  Area protetta
buildingname_triffid                   Trifido
buildingname_spiritreceiver            Ricevitore di anime
buildingname_receiverlink              Collegamento ricevitore
buildingname_spiritspawner             Generazione anime
buildingname_spiritprocessor           Elaborazione anime
buildingname_spawnpoint                Punto di generazione
buildingname_spawnpopulationlock       Blocca generazione popolazione
buildingname_spawnpointmaster          Punto di generazione principale
buildingname_spawnlink                 Collegamento generazione
buildingname_aitarget                  Bersaglio IA
buildingname_aispawnpoint              Punto di generazione IA
buildingname_blueprintstore            Archivio progetti
buildingname_blueprintconsole          Progetto console
buildingname_blueprintrelay            Relé progetto
buildingname_scripttrigger             Attiva script
buildingname_spam                      Spam
buildingname_goddish                   GodDish
buildingname_staticshape               Forma statica


# =================================================
# Bootloaders
# =================================================

bootloader_amiga                       .                            Darwinia - Versione Finale       Craccata da                DMA Crew                   Ho dovuto programmare per 38 ore di seguito prima di poter far funzionare questa crack. Ho scritto rapidamente questa introduzione e chiedo scusa per lo stile, ma avevo solo 12 minuti per redigerla. Ho bevuto caffè e Red Bull per tutto il giorno, credo che i miei lobi frontali stiano sanguinando. Colgo l'occasione per salutare Alistair, Chris, Jo, Johnny, Mark, Michael, Tom e tutti i beta tester. Un saluto anche al defunto Jay Miner, per aver creato l'Amiga e tutti i programmi per le demo, ovunque, per mostrare al resto del mondo a cosa servono realmente i computer. Un saluto a tutti voi, arrivederci alla prossima uscita di DMA Crew...

bootloader_credits_1                   Creato da
bootloader_credits_2                   Chris Delay
bootloader_credits_3                   Andrew Bainbridge
bootloader_credits_4                   Prodotto da
bootloader_credits_5                   Introversion Software
bootloader_credits_6                   Mark Morris
bootloader_credits_7                   Thomas Arundel
bootloader_credits_8                   Chris Delay
bootloader_credits_9                   John Knottenbelt
bootloader_credits_10                  Progettazione e produzione audio
bootloader_credits_11                  Alistair Lindsay
bootloader_credits_12                  Michael Maidment
bootloader_credits_13                  Musica
bootloader_credits_14                  Trash81
bootloader_credits_15                  www.trash80.net
bootloader_credits_16                  Colonna sonora introduzione
bootloader_credits_17                  Mathieu Stempell
bootloader_credits_18                  (Dma-Sc)
bootloader_credits_19                  Musica aggiuntiva
bootloader_credits_20                  Paul Slocum
bootloader_credits_21                  Interpreti principali
bootloader_credits_22                  Peter Hutchison
bootloader_credits_23                  Dottor Sepulveda
bootloader_credits_24                  e Maddie the cat
bootloader_credits_25                  voce dei Darwiniani
bootloader_credits_26                  Altre figure
bootloader_credits_27                  Michelle Jones
bootloader_credits_28                  Kelvin Liew
bootloader_credits_29                  Progettazione grafica aggiuntiva
bootloader_credits_30                  Jo Stansfield
bootloader_credits_31                  Conversioni Mac e Linux
bootloader_credits_32                  John Knottenbelt
bootloader_credits_33                  Distruibuizione GB
bootloader_credits_34                  Pinnacle Software
bootloader_credits_35                  Pubblicazione Mac
bootloader_credits_36                  Ambrosia Software
bootloader_credits_37                  Beta tester
bootloader_credits_38                  DARWINIA
bootloader_credits_39                  Un paese di sogni digitali
bootloader_credits_40                  di Introversion Software
bootloader_credits_41                  Sviluppo aggiuntivo
bootloader_credits_42                  Gary Chambers
bootloader_credits_43                  Stepan Hbrek
bootloader_credits_44                  James Lawton

bootloader_fodder_1                    Il gioco non è
bootloader_fodder_2                    approvato dalla
bootloader_fodder_3                    SENSIBLE SOFTWARE

bootloader_life                        IL GIOCO DELLA VITA
bootloader_life_1                      Questo complesso comportamento deriva da
bootloader_life_2                      un insieme di regole elementari, a cui tutti i Darwiniani di una colonia obbediscono.
bootloader_life_3                      Queste regole si basano sul ben noto "Gioco della vita" di John Conway.
bootloader_life_4                      - Tre Darwiniani raggruppati intorno ad una cellula vuota faranno nascere un nuovo Darwiniano in quella cellula
bootloader_life_5                      - Un Darwiniano in una cellula con 2 o 3 vicini vivrà una vita sociale felice
bootloader_life_6                      - Un Darwiniano in una cellula con 1 solo vicino, o senza vicini, morirà come anima sola
bootloader_life_7                      - Un Darwiniano con 4 vicini o più morirà di fame
bootloader_life_8                      - (in più) La speranza di vita massima di un Darwiniano è di 50 anni
bootloader_life_9                      I Darwiniani vivranno anni felici e prosperi, secondo questo semplice sistema.
bootloader_life_10                     L'ultima regola, quella che determina l'età, è unica in Darwinia, e quando anche la colonia viva
bootloader_life_11                     centinaia di anni, questa regola conferisce crudeltà alla condanna e
bootloader_life_12                     garantisce l'estinzione dell'intera colonia.
bootloader_life_13                     Tutti coloro che hanno partecipato al progetto di vita digitale di Darwinia sono d'accordo sul fatto che i Darwiniani
bootloader_life_14                     debbano prendere coscienza del concetto di mortalità il prima possibile.
bootloader_life_15                     Premi G per rigenerare
bootloader_life_16a                    Musica di Paul Slocum
bootloader_life_16b                    (http://qotile.net/)
bootloader_life_17                     Età della colonia in anni:
bootloader_life_18                     Premi H per la guida

bootloader_raytrace_1                  Niente paura, il gioco inizierà presto
bootloader_raytrace_2                  ma, prima di cominciare, abbiamo ritenuto giusto
bootloader_raytrace_3                  aumentare la tua voglia di giocare con un
bootloader_raytrace_4                  adorabile software Raytracer, eh eh eh :)
bootloader_raytrace_5                  La Introversion ringrazia DMA_SC
bootloader_raytrace_6                  per averci permesso di utilizzare questo super circuito
bootloader_raytrace_7                  che si chiama
bootloader_raytrace_8                  VISITOR FROM DREAMS
bootloader_raytrace_9                  Premi H per la guida

bootloader_raytrace_10                 AIUTO RAYTRACER
bootloader_raytrace_11                 Risoluzione
bootloader_raytrace_12                 Riflessione
bootloader_raytrace_13                 Pixel Wave
bootloader_raytrace_14                 Motion Blur
bootloader_raytrace_15                 Pixel Blur
bootloader_raytrace_16                 Luminosità
bootloader_raytrace_17                 Telecamera statica
bootloader_raytrace_18                 Telecamera mobile
bootloader_raytrace_19                 Telecamera rotante
bootloader_raytrace_20                 Ruota la fonte di luce
bootloader_raytrace_21                 Ruota telecamera
bootloader_raytrace_22                 Movimento orizzontale telecamera
bootloader_raytrace_23                 Movimento verticale telecamera

bootloader_soul_0                      riflessione
bootloader_soul_1                      sentimento
bootloader_soul_2                      giudizio
bootloader_soul_3                      percezione
bootloader_soul_4                      sensazione
bootloader_soul_5                      intuizione
bootloader_soul_6                      estroversione
bootloader_soul_7                      introversione
bootloader_soul_8                      INTROVERSION SOFTWARE
bootloader_soul_9                      Sviluppatori con un'anima



