# =================================================
# Greenhouse stuff
# =================================================

gk_nonetwork                           No Connection

multiwinia_help_title_unloadarmour  UNLOAD ARMOUR
multiwinia_help_unloadarmour        Right Click on the Armour or its Marker to tell it to Unload the Multiwinians inside. They will then capture the nearby Spawn Point.
multiwinia_help_unloadarmour_xbox   Press X on the Armour or its Marker to tell it to Unload the Multiwinians inside. They will then capture the nearby Spawn Point.

multiwinia_help_title_station       CAPTURE RADAR
multiwinia_help_station             Move Multiwinians to this Control Station to capture the Radar Dish. Be sure to capture the nearby Score Zone too!

multiwinia_help_title_win           WIN THE GAME
multiwinia_help_win                 Now, use your Officers, Armour and the Radar Dishes to capture as many Score Zones as you can, and win the game! Remember, you get 1 point per second for every zone you control.

multiwinia_help_title_breakformation CANCEL FORMATION
multiwinia_help_breakformation      To release your Multiwinians from the Formation, Right Click on the Officer or its Flag. This will allow the Multiwinians to mop up the surviving enemies and capture the Spawn Point.
multiwinia_help_breakformation_xbox To release your Multiwinians from the Formation, Press X on the Officer or its Flag. This will allow the Multiwinians to mop up the surviving enemies and capture the Spawn Point.

multiwinia_help_title_clearinfo     PRESS SPACE
multiwinia_help_clearinfo           Press the Space Bar or Left Click to dismiss the Power-up info box.
multiwinia_help_clearinfo_xbox      Press the A button to dismiss the Power-up info box.

multiwinia_help_general             General Help

multiwinia_helppage_general1        These are Multiwinians. They inhabit Darwinia, and make up your entire army. They are equipped with Lasers and Grenades, and will automatically attack any enemy Multiwinians nearby. To move them, hold down the Left Mouse Button to select a group, and then press the Right Mouse Button where you want them to go.
multiwinia_helppage_general1_mac    These are Multiwinians. They inhabit Darwinia, and make up your entire army. They are equipped with Lasers and Grenades, and will automatically attack any enemy Multiwinians nearby. To move them, hold down the Left Mouse Button to select a group, and then press the Right Mouse Button where you want them to go. (If you have only a one button mouse, a Control-click is the same as clicking the second mouse button.)
multiwinia_helppage_general2        Multiwinians can be promoted to Officers using the Right Mouse button. Pressing the Right Mouse Button again near the Officer will make it order nearby Multiwinians into a powerful Formation mode, while pressing the Right Mouse Button further away from the Officer will make it order all Multiwinians to move to that position automatically. Officers (and all other units) can be reselected using the Left Mouse Button, and Deselected with the Space Bar.
multiwinia_helppage_general3        Multiwinians are created at Spawn Points. Groups of new Multiwinians will be created periodically at every Spawn Point you control. To capture a new Spawn Point, simply move your Multiwinians up close to it - they will take control of it automatically, as long as there are no enemy Multiwinians already there.
multiwinia_helppage_general4        When they get close enough, enemy Multiwinians will automatically attack each other with lasers. If there is a large group of enemies, a Multiwinian will occasionally throw a grenade (unless they are in a Formation, in which case they can only fire Lasers).
multiwinia_helppage_general5        Crates containing a random powerup will fall from the sky during the game. To collect these crates, simply move Multiwinians over to them - the more Multiwinians you use, the faster you will capture the crate. Powerups are selected using the Tab Key (alternatively, the number keys can be used to select a powerup directly), and used with the Left Mouse Button.

multiwinia_helppage_general1_xin    These are Multiwinians. They inhabit Darwinia, and make up your entire army. They are equiped with Lasers and Grenades, and will automatically attack any enemy Multiwinians nearby. To move them, hold down the A button to select a group, and then press X button where you want them to go.
multiwinia_helppage_general2_xin    Multiwinians can be promoted to Officers using the X button. Pressing X again near the Officer will make it order nearby Multiwinians into a powerful Formation mode, while pressing X further away from the Officer will make it order all Multiwinians to move to that position automatically. Officers (and all other units) can be reselected using the A Button, and Deselected with the B Button.
multiwinia_helppage_general5_xin    Crates containing a random powerup will fall from the sky during the game. To collect these crates, simply move Multiwinians over to them - the more Multiwinians you use, the faster you will capture the crate. Powerups are selected using the Left Bumper and Right Bumper, and used with the A Button. 

# Domination
multiwinia_help_gametypetitle_0      How to play Domination
multiwinia_helplabel_1_0             Spawn Point
multiwinia_helplabel_1_1             Attacking Force
multiwinia_helplabel_1_2             Defenders

# King of the Hill
multiwinia_help_gametypetitle_1      How to play King of the Hill
multiwinia_helplabel_2_0             Blue Hill-Zone
multiwinia_helplabel_2_1             Attacking Multiwinians

# Capture The Statue
multiwinia_help_gametypetitle_2      How to play Capture the Statue
multiwinia_helplabel_3_0             Goal
multiwinia_helplabel_3_1             Statue
multiwinia_helplabel_3_2             Slight Detour

# Assault
multiwinia_help_gametypetitle_3      How to play Assault
multiwinia_helplabel_4_0             WMD
multiwinia_helplabel_4_1             Control Station
multiwinia_helplabel_4_2             Gun Turrets
multiwinia_helplabel_4_3             Wall

# Rocket Riot
multiwinia_help_gametypetitle_4      How to play Rocket Riot
multiwinia_helplabel_5_0             Rocket
multiwinia_helplabel_5_1             Solar Panel
multiwinia_helplabel_5_2             Fuel Level
multiwinia_helplabel_5_3             Flashy Thing

# Blitzkrieg
multiwinia_help_gametypetitle_5      How to play Blitzkrieg
multiwinia_helplabel_6_0             Flag
multiwinia_helplabel_6_1             Attacking Force


# Note - If nessecery, strings can be split up (ie multiwinia_helppage_1_1 could be split into multiwinia_helppage_1_1 and multiwinia_helppage_1_2)
multiwinia_helppage_1_1              In Domination, the goal is to capture as many Spawn Points as you can before the timer runs out. The player with the most Spawn Points at the end of the game is the winner. Additionally, any team which doesn't have a Spawn Point for 30 seconds will be eliminated - if you eliminate all the enemy teams, you will also win the game.

multiwinia_helppage_2_1              In King of the Hill, your goal is to control as many of the Hill-Zones as you can for as long as possible. For every Zone that you control, you will score 1 point per second. The player with the most points at the end of the game wins.
multiwinia_helppage_2_2              In order to capture a Hill-Zone, simply move your Multiwinians inside of it. If there are no enemy Multiwinians present, you will gain control of the Zone and begin scoring points. If other Multiwinians are there already, then the team with the most Multiwinians present will control the Zone.

multiwinia_helppage_3_1              In Capture the Statue, you score points by lifting the giant statues and carrying them to your score zone. For every statue that you capture, you will score 1 point - the player with the most points at the end of the game wins. Statues will appear during the game in the white zones dotted about the levels.
multiwinia_helppage_3_2              To lift a statue and carry it away, you need to move a large number of Multiwinians close to it. Once you have enough Multiwinians nearby, they will lift it and begin carrying it automatically. If you want to make them carry it somewhere else, select the Multiwinians as normal, and then click the Right Mouse Button at the desired location.
multiwinia_helppage_3_2_xin          To lift a statue and carry it away, you need to move a large number of Multiwinians close to it. Once you have enough Multiwinians nearby, they will lift it and begin carrying it automatically. If you want to make them carry it somewhere else, select the Multiwinians as normal, and then press X at the desired location.
multiwinia_helppage_3_3              If there are enemy Multiwinians already at the statue, you will need to out-number them before you can lift the statue away. If they are already moving the statue, you can make them drop it by destroying enough of the Multiwinians carrying it.

multiwinia_helppage_4_1              In Assault, players are divided into 2 groups - Attackers and Defenders. The Defenders are given a heavily defended area which they must protect. The Attacker must break into this area and capture the Control Stations inside. The Attackers will always largely outnumber the Defenders, and receive regular reinforcements.
multiwinia_helppage_4_2              On each Assault map, there is a WMD belonging to the Defending team. This WMD is on a timer - once it reaches 0 it detonates, the Defenders win the game and the Attacking team is completely destroyed. If the Attacking team captures the Control Stations first, the WMD is destroyed, and they win the game.
multiwinia_helppage_4_3              Some Assault maps have large mobile explosives called Wall Busters. Multiwinians are able to carry these, and if they carry it directly into a defending wall, that wall and everything nearby will be destroyed.

multiwinia_helppage_5_1              Rocket Riot has 3 objectives. First, you must fuel your rocket, by capturing Solar Panels dotted around the map. Once your Rocket is fueled, you need to load Multiwinian passengers in to it. Your Rocket will then begin the launch countdown - you must defend your Rocket until it launches successfully.
multiwinia_helppage_5_2              Solar Panels are captured in the same way as Spawn Points - simply move your Multiwinians up to them. Solar Panels will power the fuel generators - the longer you hold the panels, the faster they will begin to generate fuel, so once you capture them, you need to make sure you hold onto them for maximum effect. 
multiwinia_helppage_5_3              Once your Rocket's fuel level reaches 95, you can begin loading Multiwinians. Multiwinians will board the Rocket automatically, but they need to be standing close to the rocket before they can do that. You will need to load 100 Multiwinians onto your Rocket before the launch sequence will begin.
multiwinia_helppage_5_4              Defending your Rocket is a very important task - once your Fuel level reaches 70, your Rocket will be vulnerable to attack from enemy Multiwinians. Enemy Multiwinians which get close to your Rocket will automatically attack it with grenades - if they do enough damage, your fuel and passengers will be burnt, and you will have to start over.

multiwinia_helppage_6_1              In Blitzkrieg, the goal is to eliminate enemy teams by capturing their flags. You cannot simply attack their flag right away though - you must link your own flag to your enemy's by capturing the other flags scattered throughout the level. Every time a flag is captured, by you or an enemy team, it will unlock other nearby flags for you to capture.
multiwinia_helppage_6_2              The first flag that you capture is your home flag. It is very important that you defend this flag - if an enemy captures your flag, and has a link back to their flag, you are out of the game. You can break this link by capturing any flag in between, but lose your home flag before you do, and you'll be eliminated from the game.
multiwinia_helppage_6_3              If you eliminate all the other teams on the map, you will win the game. If the time runs out before that happens, however, the winner will be determined by how well they did during the game. Each team currently left in the game will get 1 point for every flag they currently control, and 10 points for every team they have eliminated. Obviously, this means that eliminating enemy teams gives you a much better chance of winning the game.

# == Controller Labels ==

multiwinia_help_controllabel_0       Move Camera / Move Squad
multiwinia_help_controllabel_1       Previous Powerup
multiwinia_help_controllabel_2       Camera Up
multiwinia_help_controllabel_3       Rotate Camera / Squad Lasers
multiwinia_help_controllabel_4       Next Powerup
multiwinia_help_controllabel_5       Camera Down
multiwinia_help_controllabel_6       Confirm / Move Unit
multiwinia_help_controllabel_7       Deselect / Cancel
multiwinia_help_controllabel_8       Create Officer / Special
multiwinia_help_controllabel_9       Destroy Powerup

# == Game Options == 

multiwinia_param_scoremode           Score Mode
multiwinia_param_timelimit           Time Limit
multiwinia_param_handicap            Handicap
multiwinia_param_cratedroprate       Crate Drop Period
multiwinia_param_startingpowerups    Starting Powerups
multiwinia_param_retributionmode     Retribution Mode
multiwinia_param_reinforcementtimer  Reinforcement Timer
multiwinia_param_reinforcementcount  Reinforcement Count
multiwinia_param_maxarmour           Max Armour
multiwinia_param_turretfrequency     Turret Frequency
multiwinia_param_numtanks            Number of Tanks
multiwinia_param_suddendeath         Sudden Death
multiwinia_menu_privateslots         Private Slots
multiwinia_param_cratedropmode       Crate Drop Mode
multiwinia_param_maxturrets          Max Gun Turrets
multiwinia_param_basiccrates         Basic Crates Only

multiwinia_param_scoremode_description_0         Alters the way player scores are determined during the match.\n\n - Total Spawn Points: 1 Point for every Spawn Point that a player controls.\n\nSpawn Points per Second: 1 point every second for every Spawn Point a player controls.
multiwinia_param_scoremode_description_1         Alters the way player scores are determined during the match.\n\n - Zones controlled per second: 1 Point per second for every Hill-Zone under your control.\n\n - Zone Population per second: 1 point for every Multiwinian you have in Hill-Zone every second.\n\n - Final Zone Population: Each team gets 1 point for every Multiwinian they have in a Hill-Zone. Whoever has the most Multiwinians in Hill-Zones when the timer runs out wins.\n\n - Total Zone Control: 1 Point for every second that you control every Hill-Zone on the level. This is a very difficult mode.
multiwinia_param_timelimit_description           Set the time limit (in minutes) for this game.\n0 = Unlimited.
multiwinia_param_timelimit_description_1         Set the time limit (in minutes) for this game. 
multiwinia_param_timelimit_description_2         Set the time limit (in minutes) for this game.
multiwinia_param_timelimit_description_5         Set the time limit (in minutes) for this game.\n0 = Unlimited.\n\nIf the time reaches 0 before a winner is declared, the winner will by determined by the number of flags controlled and the number of other teams eliminated by each team. 1 point is awarded per flag, and 10 points per elimination.
multiwinia_param_handicap_description            The maximum percentage increase in spawn rate at Spawn Points when a player is handicapped.\n\nA player receives a handicap if the number of Spawn Points they control is significantly below the average number of Spawn Points per team.
multiwinia_param_cratedroprate_description       Control the rate at which crates drop (in seconds). A 50% deviation is applied to this value per drop.\n\n(Eg. A value of 40 would give crate drops every 20-60 seconds, a value of 10 would give drops every 5-15 seconds).\n\n0 = No Crates
multiwinia_param_startingpowerups_description    The number of powerups each team will start with. Each team will receive completely random powerups which may give some players a larger advantage.
multiwinia_param_retributionmode_description     After a player has been eliminated, they will periodically receive a powerup to let them continue in the game until the end.
multiwinia_param_reinforcementtimer_description  The time between each wave of reinforcements from a Trunk Port (in seconds)
multiwinia_param_reinforcementcount_description  The number of Multiwinians that will be received in each wave of reinforcements.
multiwinia_param_maxarmour_description           The maximum number of Armour units a team can have at any one time.
multiwinia_param_turretfrequency_description     Specifies the frequency with which a team is given a new Gun Turret.\n\n(Eg. If set to 3, each team will get a new Gun Turret with every 3rd wave of reinforcements)
multiwinia_param_numtanks_description            The number of Tanks each player has before they are eliminated.
multiwinia_menu_coop_description                 Enables or disables Co-operative play for this level. If enabled, players will be split into 2 teams and will work together against the other team.
multiwinia_menu_aimode_description               Controls the difficulty of any CPU Players on this level.
multiwinia_menu_singleround_description          If enabled, only a single Assault round will be played (ie. which ever team is successful will win the game).\nIf disabled, multiple rounds will be played with each player occupying each position, and the overall winner will be whoever defends for the longest amount of time.
multiwinia_menu_privateslots_description         Specifies the number of spaces in this game which are Invite-Only
multiwinia_param_suddendeath_description_0        In the case of a Draw, Sudden Death will begin.\n\nThe first player to capture a Spawn Point or disable an enemy Spawn Point will win the game.
multiwinia_param_suddendeath_description_1        In the case of a Draw, Sudden Death will begin.\n\nAn extra minute will be added to the clock, and whoever has the highest score after that minute will win the game.
multiwinia_param_suddendeath_description_2        In the case of a Draw, Sudden Death will begin.\n\nThe next player to capture a Statue will win the game.
multiwinia_param_suddendeath_description_5        In the case of a Draw, Sudden Death will begin.\n\nThe next player to capture a Flag will win the game.
multiwinia_param_cratedropmode_description       Alters the way the drop location for Crates is determined.\n\n - Weighted: Crate drops are determined by team score - the lower your score (compared to everyone else), the more likely it is that a Crate will drop close to your team.\n\n - Random: Crate drop locations are picked completely randomly.
multiwinia_param_maxturrets_description          Controls the maximum number of Gun Turrets a team may have in play at any one time. This value only applies to turrets you have placed, which means that if you capture enemy turrets, you may have more than this value, but if an enemy captures one of yours, it will still count towards your limit. 
multiwinia_param_basiccrates_description         If enabled, crates will only contain a basic set of power-ups.
multiwinia_menu_serverpassword_description        Set a password for your server. Players will need to enter this password before they can join your game.


# === Skirmish ====================================

multiwinia_option_0_0_0             Total Spawn Points
multiwinia_option_0_0_1             Spawn Points per Second
multiwinia_skirmish_elimination_30  You will be eliminated in 30 seconds!
multiwinia_other_elimination        *T will be eliminated in 30 seconds!
multiwinia_option_0_5_0             No
multiwinia_option_0_5_1             Yes
multiwinia_option_0_6_0             No
multiwinia_option_0_6_1             Yes
multiwinia_option_0_7_0             Random
multiwinia_option_0_7_1             Weighted

multiwinia_dom_eliminated           Eliminated
multiwinia_dom_eliminatedin         Elimination in *S seconds
multiwinia_dom_spawnpoints          *X Spawn Points
multiwinia_player_eliminated        You are eliminated!
multiwinia_other_eliminated         *T is eliminated!

multiwinia_points                   *X points


# === King of the Hill ============================

multiwinia_option_1_0_0             Zones controlled per second
multiwinia_option_1_0_1             Zone Population per second
multiwinia_option_1_0_2             Final Zone population
multiwinia_option_1_0_3             Total zone control
multiwinia_option_1_5_0             No
multiwinia_option_1_5_1             Yes
multiwinia_option_1_6_0             No
multiwinia_option_1_6_1             Yes
multiwinia_option_1_7_0             Random
multiwinia_option_1_7_1             Weighted

# === Capture the Statue ===========================

multiwinia_cts_newstatue            New Statue!
multiwinia_cts_statuecapture        *T captured a Statue!
multiwinia_option_2_2_0             No
multiwinia_option_2_2_1             Yes
multiwinia_option_2_3_0             No
multiwinia_option_2_3_1             Yes
multiwinia_option_2_4_0             Random
multiwinia_option_2_4_1             Weighted

# === Blitzkrieg ==================================

multiwinia_option_5_6_0             No
multiwinia_option_5_6_1             Yes
multiwinia_option_5_7_0             No
multiwinia_option_5_7_1             Yes
multiwinia_option_5_8_0             Random
multiwinia_option_5_8_1             Weighted

multiwinia_blitzkreig_score         *X Flags

multiwinia_blitzkrieg_enemyoccupied ENEMY OCCUPIED
multiwinia_blitzkrieg_underattack   Under Threat
multiwinia_blitzkrieg_unoccupied    Under Threat
multiwinia_blitzkrieg_underthreat   Under Threat
multiwinia_blitzkrieg_safe          Safe
multiwinia_blitzkrieg_eliminated    Eliminated


# === Assault =====================================

multiwinia_attackers                Attackers
multiwinia_defenders                Defenders
multiwinia_attackers_win            Attackers Win!
multiwinia_defenders_win            Defenders Win!
multiwinia_team_win                 *T Wins!
multiwinia_roundattacking           ROUND *X: YOU ARE ATTACKING
multiwinia_rounddefending           ROUND *X: YOU ARE DEFENDING
multiwinia_nextroundin              NEXT ROUND IN: *S
multiwinia_defendedfor              *T defended for *S
multiwinia_defendedfor_score        defended for *S
multiwinia_assault_holdtheline      Defend the WMD!
multiwinia_assault_ticktock         Attack and destroy the WMD!
multiwinia_assault_objcntrlstation  WMD Control Panel
multiwinia_assault_objpulsebomb     WEAPON OF MASS DESTRUCTION
multiwinia_assault_defended         DEFENDED
multiwinia_assault_captured         CAPTURED
multiwinia_assault_destroyed        DESTROYED
multiwinia_assault_lost             OVERRUN
multiwinia_assault_unoccupied       .


# ==== Rocket Riot ========

multiwinia_rr_refueled             Your Rocket has been refueled!
multiwinia_rr_otherrefueled        *T's Rocket has been refueled!
multiwinia_rr_launchprep           Your Rocket is preparing for launch!
multiwinia_rr_launchprepother      *T's Rocket is preparing for launch!
multiwinia_rr_passengers           passengers
multiwinia_rr_damage               DMG
multiwinia_rr_liftoff              LIFTOFF IN *S
multiwinia_rr_fuel                 fuel

multiwinia_rr_status_a             Capture solar\npanels to begin\nrefueling rocket
multiwinia_rr_status_b             Load your rocket\nwith 100\nMultiwinians
multiwinia_rr_status_c             YOUR ROCKET IS\nUNDER ATTACK!\n\nDAMAGE *T
multiwinia_rr_status_d             LIFTOFF!
multiwinia_rr_status_e             Your Rocket\nis on\nFIRE!
multiwinia_rr_status_f             Fuel *T

# === Tank battle =================================

multiwinia_tankloss                *T loses a Tank!
multiwinia_numtanks                *X Tanks

# === new dialog strings ==========================

dialog_wronggame                       Wrong Game!
dialog_fullonly                        Full Game Only
dialog_gamma                           Gamma
dialog_overscan                        Overscan
dialog_resetprofile                    Reset Profile
dialog_terminated                      *P TERMINATED
dialog_baseunderattack                 Your Base Is Under Attack!
dialog_rocketdestroyed                 Your Rocket is on fire!

dialog_unplugged_pc                   Your control pad has been unplugged. Please plug it back in or press Esc to continue.

dialog_powerup_limit                   Powerup Limit Reached!
dialog_previous                        Previous

dialog_credits                         Credits

multiwinia_kills_500                   500 Kills!
multiwinia_kills_1000                  1000 Kills!
multiwinia_kills_2000                  2000 Kills!
multiwinia_kills_3000                  3000 Kills!
multiwinia_kills_4000                  4000 Kills!
multiwinia_kills_5000                  5000 Kills!!!

multiwinia_presstotalk                 Press Enter To Chat
multiwinia_lobbypresstotalk            Press SPACE To Chat

# === new editor strings ==========================


editor_leveloption_0                   NoHandicap
editor_leveloption_1                   InstantSpawnCapture
editor_leveloption_2                   Trunkport Reinforcements
editor_leveloption_3                   Trunkport Armour
editor_leveloption_4                   No GunTurrets
editor_leveloption_5                   Attacker Reinforcements
editor_leveloption_6                   Defender Reinforcements
editor_leveloption_7                   Def. Reinforcement Type
editor_leveloption_8                   Att. Reinforcement Type
editor_leveloption_9                   Force Radar Team Match
editor_leveloption_10                  No Radar Control
editor_leveloption_11                  Num Zones for Airstrike (BK)
editor_leveloption_12                  Futurewinian Team
editor_leveloption_13                  Att. Reinforcement Mode
editor_leveloption_14                  Def. Reinforcement Mode


editor_checkcliffs                     Check Cliffs

editor_flattentype                     Flatten Type
editor_flatten_absolute                Absolute
editor_flatten_add                     Add
editor_flatten_subtract                Subtract
editor_flatten_subtract2               Subtract 2
editor_flatten_smooth                  Smooth
editor_threshold                       Threshold
editor_armourtarget                    Armour Target
editor_blockpowerups                   Block Powerups

editor_pickuponly                      Pickup Only
editor_maxheight                       Max Height

editor_forcecoop                       Force Co-op
editor_coop                            Co-op
editor_defenderpopcap                  Defender Pop. Cap
editor_coopgroup1                      Co-op Group 1
editor_coopgroup2                      Co-op Group 2
editor_attackingteams                  Attacking Teams

editor_basic                           Basic Options
editor_coop_options                    Co-op Options
editor_assault_options                 Assault Options
editor_map_options                     Map Options

editor_effects                         Effects
editor_effects_snow                    Snow
editor_effects_lightning               Lightning
editor_effects_dustwind                Dust Storm
editor_effects_soulrain                Soul Rain
editor_effects_speciallights           Special Lighting

editor_selectterrain                   Select Terrain Colour
editor_selectwaves                     Select Wave Colour
editor_selectwater                     Select Water Colour

editor_publish                         Publish
editor_description                     Description

dialog_invalidcrates                   Invalid Crates

esrb_warning                           ESRB Notice: Game Experience May Change During Online Play

# === Error Strings ===============================

multiwinia_error_missingmap            You do not have the map that this server is running. Please check INSERT WEBSITE HERE for custom maps.
multiwinia_error_serverfull	        This server is full.
multiwinia_error_incompatible		Your game is incompatible with this server. Please update if you are not running the latest version.
multiwinia_error_syncerror	        Synchronisation Error
multiwinia_error_lostconnection	    Lost connection to Server
multiwinia_error_requestinglist     Requesting server list...
multiwinia_error_noserversfound     No Servers Found
multiwinia_error_unknownmap         Unknown Map
multiwinia_error_loadingachievement Loading achievements
multiwinia_error_kickedbyserver     You have been kicked by the server.
multiwinia_error_badpass            The password you entered is incorrect.
multiwinia_error_connection         There has been a connection error. Please try again.


# === Map Strings (Name/Description) ==============

mp_koth_2P_1_name                   The Eternal Guardians
mp_koth_2P_1_description            Effigies of their creator maintain a solemn vigil over this war-torn plain
mp_koth_2P_2_name                   Shrine of Memory
mp_koth_2P_2_description            This shrine is one of many made to commemorate the souls lost during the First War
mp_koth_2P_3_name                   The Bitter Front
mp_koth_2P_3_description            Darwinians once fought for their very survival on this snow covered waste, while now the Multiwinians use it to try and exterminate each other
mp_koth_2P_3b_name                  The Bitter Front
mp_koth_2P_3b_description           Darwinians once fought for their very survival on this snow covered waste, while now the Multiwinians use it to try and exterminate each other
mp_koth_2P_4_name	                Pillar of Light
mp_koth_2P_4_description            The cycle of souls continues endlessly here as one Tribe finds themselves trapped by an assaulting force, who themselves are assaulted after their victory
mp_koth_3P_1_name                   Pursuit of Victory
mp_koth_3P_1_description            This newly discovered island chain serves as a reminder to how large Darwinia truly is
mp_koth_3P_2_name                   Field of Unending Dawn
mp_koth_3P_2_description            The massive number of souls constantly rising from this field cause it to have an ethereal glow
mp_koth_3P_3_name                   The Deceitful Vale
mp_koth_3P_3_description            Site of the largest betrayal in Multiwinian history, the Yellow tribe claimed that the twisted nature of the landscape caused them turn on their former Green allies
mp_koth_3P_4_name                   The Walled Garden
mp_koth_3P_4_description            This site was once used in the Celebration of Rebirth, during which thousands of soul kites would be released towards the soul repository as an offering to Sepulveda. Almost all memory of the Celebration has since faded away, although the constant battles continue.
mp_koth_4P_1_name                   The Holy Tree
mp_koth_4P_1_description            When the original Great Tree was destroyed at the start of the Unending War, the Shamen recreated it here in remembrance of a more peaceful age
mp_koth_4P_3_name                   A Monument to the Heavens
mp_koth_4P_3_description            A number of temples like this were created all over Darwinia in worship of Sepulveda, for delivering them from the Virus
mp_koth_4P_4_name                   Barbs of Madness
mp_koth_4P_4_description            The very landscape here has been infected and twisted by the Virus, a phenomenon which is slowly spreading throughout Darwinia

mp_skirmish_3P_1_name               Leap of Faith
mp_skirmish_3P_1_description        The tall spires here make it the ideal place to build a secure stronghold. Unfortunately, everyone seems to have realised this at the same time.
mp_domination_2P_1_name             Barriers to Progress
mp_domination_2P_1_description      The mountains in this area have large concentrations of the polygons used by the Multiwinians in the construction of their weapons of war. 
mp_skirmish_2P_3_name               Stairway to Heaven
mp_skirmish_2P_3_description        INSERT DESCRIPTION HERE
mp_skirmish_2P_4_name               Hamburger Hill
mp_skirmish_2P_4_description        This was one of the first locations discovered after the end of the Great War, and was a place of great beauty. It has since been stripped almost bare by the Multiwinians and their war
mp_domination_4P_1_name             The Holy Tree
mp_domination_4P_1_description      When the original Great Tree was destroyed at the start of the Unending War, the Shamen recreated it here in remembrance of a more peaceful age
mp_domination_2P_2_name             The Eternal Guardians
mp_domination_2P_2_description      Effigies of their creator maintain a solemn vigil over this war-torn plain
mp_domination_3P_1_name             Field of Unending Dawn
mp_domination_3P_1_description      The massive number of souls constantly rising from this field cause it to have an ethereal glow
mp_domination_4P_2_name                   A Monument to the Heavens
mp_domination_4P_2_description            A number of temples like this were created all over Darwinia in worship of Sepulveda, for delivering them from the Virus

mp_tankbattle_2P_name               2P TankBattle Arena
mp_tankbattle_2P_description        Tank Duel! FIGHT!
mp_tankbattle_3P_name               3P TankBattle Arena
mp_tankbattle_3P_description        3-way Tank Madness!
mp_tankbattle_4P_name               4P TankBattle Arena
mp_tankbattle_4P_description        Total Tank Carnage!

mp_cts_2p_1_name                    Mountain of Lost Souls
mp_cts_2p_1_description             The mountain here was once the scene of a terrible slaughter, as a swarm of Soul Destroyers annihilated an entire army of Multiwinians. The island was a blanket of white, until the Virus assimilated the Ghosts into its ranks
mp_cts_2p_2_name                    The Bloody Shrine
mp_cts_2p_2_description             This area was once a holy place for Multiwinians, who would flock from all over to worship here. When the Unending War started, worship turned to bloodshed as each faction fought for control
mp_cts_2p_3_name                    Price of War
mp_cts_2p_3_description             This entire meadow was once filled with trees, until they were destroyed by the war, a scene repeated numerous times all over Multiwinia
mp_cts_2p_4_name                    The Unending Peaks
mp_cts_2p_4_description             There is a legend which says that no Multiwinian has ever climbed to the top of either peak, as no matter how far they climb, the top always seems to be an eternity away
mp_cts_3p_1_name                    Melting Pot
mp_cts_3p_1_description             As the Multiwinians grow and evolve, so does their world, and this was one of the first places to exhibit any kind of weather pattern. It is however, slightly unstable
mp_cts_3P_2_name                    The Tortured Expanse
mp_cts_3P_2_description             When the Virus infected the very trees of Multiwinia, they became twisted and dangerous things, filled with the same thirst for souls that consumes the Soul Destroyers
mp_cts_4P_1_name                    Field of Unlife
mp_cts_4P_1_description             When the second Holy Tree was destroyed here, the entire area seemed to change, and became cold and hostile to life
mp_cts_4P_2_name                    Scorched Earth
mp_cts_4P_2_description             One of the most heavily infected areas in Darwinia, this Virus has made everything about this dark place hostile to Multiwinian life
mp_cts_4p_3_name                    Maze of Despair
mp_cts_4p_3_description             It is said that the first Multiwinians to enter this place were never seen again, until their souls were seen floating back to the Soul Repository. Now the way out is marked by the souls of Multiwinians fallen in the war

mp_rocketriot_2P_2_name             Echoes of the Future
mp_rocketriot_2P_2_description      The fate of the brave few original Darwinians of the first Rocket Launch still remains unknown, but since the start of the Unending War, every tribe has been fighting to the last to try and launch their own rockets
mp_rocketriot_2p_3_name             Stairway to Heaven
mp_rocketriot_2p_3_description      As one of the highest points in Darwinia, this site made the natural choice for a launching platform
mp_rocketriot_2P_4_name             Bridge of Light
mp_rocketriot_2P_4_description      This site marks the birthplace of the Blue tribe of Multiwinians, as a brief glitch caused the Pattern of the Green Multiwinians to mutate. From those few arose the entire Blue tribe
mp_rocketriot_3p_1_name             The Second Beginning
mp_rocketriot_3p_1_description      Due to its similarity to the original launch site, Multiwinians once flocked here in their thousands to try and launch more rockets. The islands have now descended into chaos as each Tribe tries to sabotage the others
mp_rocketriot_3P_2_name             Wake of Eternity
mp_rocketriot_3P_2_description      It is believed that this location marked the start of the Unending War between the 4 Tribes. Despite the vast collective memory of the Multiwinians, none of them remember why.
mp_rocketriot_3P_3_name             Heart of Chaos
mp_rocketriot_3P_3_description      A turning point in the history of the Red tribe occurred here, as they regained their free-will and stopped being influenced by the Virus. The Virus has since stopped using living Multiwinians to do its work
mp_rocketriot_4P_1_name             Threads of Fate
mp_rocketriot_4P_1_description      Once every few generations, when looking directly up from this location, the Multiwinians are able to see directly through the ring of the Soul Repository and directly out of Darwinia, giving them a perfect view of the lights beyond

mp_assault_2P_1_name               Beneath the Baleful Eye
mp_assault_2P_1_description        The Unending War took a horrifying turn here, as the first Weapon of Mass Destruction was created by the Multiwinians
mp_assault_2P_2_name               The Woeful Plateau
mp_assault_2P_2_description        A near impregnable fortress guards the deadly device hidden here
mp_assault_2P_3_name               Dog Green Sector
mp_assault_2P_3_description        A spectacular opening beach landing scene, followed by a long and boring mid-section and culminating in a final battle that is somehow less exciting than the first
mp_assault_3P_1_name               The Third Kind
